Plot,X,Y,Coord,Gr Ht,Hit,Spp,Stat,Ht
1,B,2,B2,35.0,1,MOSSPP,D,34.0
1,B,3,B3,31.0,1,MOSSPP,D,30.0
1,B,4,B4,35.0,1,MOSSPP,D,34.0
1,B,5,B5,37.0,1,MOSSPP,D,36.0
1,B,6,B6,38.0,1,MOSSPP,D,37.0
1,C,2,C2,31.0,1,MOSSPP,A,30.0
1,C,3,C3,28.5,1,LEDPAL,D,24.0
1,C,4,C4,31.0,1,LITTER,D,30.0
1,C,5,C5,36.5,1,LITTER,D,36.0
1,C,6,C6,36.5,1,ASHASH,O,36.0
1,C,7,C7,37.0,1,ASHASH,O,36.0
1,D,2,D2,30.0,1,MOSSPP,A,29.0
1,D,3,D3,29.0,1,VACVIT,D,25.0
1,D,4,D4,26.5,1,LEDPAL,D,23.0
1,D,5,D5,27.0,1,LEDPAL,D,26.5
1,D,6,D6,35.5,1,ASHASH,O,35.0
1,D,7,D7,34.0,1,ASHASH,O,33.0
1,E,2,E2,29.5,1,RUBCHA,D,26.0
1,E,3,E3,29.5,1,VACVIT,D,26.0
1,E,4,E4,29.0,1,ERIVAG,D,28.5
1,E,5,E5,28.5,1,ERIVAG,D,28.0
1,E,6,E6,33.0,1,LITTER,D,31.0
1,E,7,E7,33.0,1,ASHASH,O,32.0
1,F,2,F2,32.0,1,MOSSPP,D,31.0
1,F,3,F3,32.0,1,MOSSPP,A,31.5
1,F,4,F4,29.0,1,LITTER,D,28.0
1,F,5,F5,28.0,1,MOSSPP,D,27.5
1,F,6,F6,29.5,1,MOSSPP,A,29.0
1,F,7,F7,31.0,1,MOSSPP,D,30.0
1,G,3,G3,35.0,1,MOSSPP,D,34.5
1,G,4,G4,34.0,1,MOSSPP,D,33.5
1,G,5,G5,33.0,1,MOSSPP,A,32.0
1,G,6,G6,34.5,1,MOSSPP,D,34.0
1,C,3,C3,28.5,2,MOSSPP,D,28.0
1,D,3,D3,29.0,2,ERIVAG,D,28.0
1,D,4,D4,26.5,2,ERIVAG,D,26.0
