Time1,Temp1,Time2,Temp2,Time3,Temp3,Time4,Temp4,Time5,Temp5,Time6,Temp6
0,15.18,0,14.02,0,13.37,0,11.53,0,8.2,0,4.197
5,15.15,5,13.93,5,13.37,5,11.48,5,9.33,5,4.412
10,14.97,10,13.93,10,13.37,10,11.48,10,10.62,10,7.368
15,15.33,15,13.91,15,13.37,15,11.44,15,12.23,15,8.67
20,15.34,20,13.86,20,13.36,20,11.47,20,12.75,20,8.95
25,15.4,25,13.91,25,13.38,25,11.49,25,12.65,25,9.13
30,15.45,30,13.84,30,13.38,30,11.47,30,12.74,30,9.3
35,15.47,35,13.78,35,13.38,35,11.45,35,12.69,35,9.42
40,15.62,40,13.66,40,13.36,40,11.43,40,12.64,40,9.51
45,15.59,45,13.66,45,13.33,45,11.48,45,12.62,45,9.63
50,15.62,50,13.59,50,13.35,50,11.49,50,12.57,50,9.76
55,15.64,55,13.59,55,13.35,55,11.52,55,12.55,55,10.56
60,15.66,60,13.55,60,13.35,60,11.5,60,12.51,60,11.03
65,15.66,65,13.44,65,13.32,65,11.48,65,12.49,65,10.53
70,15.66,70,13.47,70,13.32,70,11.5,70,12.46,70,10.08
75,15.69,75,13.43,75,13.36,75,11.54,75,12.42,75,10.03
80,15.69,80,13.37,80,13.38,80,11.54,80,12.47,80,10.09
85,15.69,85,13.41,85,13.31,85,11.52,85,12.45,85,10.32
90,15.72,90,13.34,90,13.36,90,11.51,90,12.44,90,10.89
95,15.72,95,13.34,95,13.38,95,11.53,95,12.44,95,11.51
100,15.72,100,13.34,100,13.37,100,11.51,100,12.37,100,12.04
105,15.9,105,13.27,105,13.38,105,11.52,105,12.37,105,12.7
110,15.83,110,13.24,110,13.34,110,11.51,110,12.37,110,13.28
115,15.78,115,13.25,115,13.35,115,11.51,115,12.36,115,13.99
120,15.83,120,13.25,120,13.39,120,11.51,120,12.36,120,14.38
125,15.8,125,13.23,125,13.37,125,11.47,125,12.35,125,14.46
130,15.78,130,13.24,130,13.41,130,11.5,130,12.35,130,14.86
135,15.86,135,13.22,135,13.37,135,11.48,135,12.35,135,15.66
140,16.05,140,13.22,140,13.39,140,11.47,140,12.34,140,16.6
145,16.96,145,13.22,145,13.41,145,11.49,145,12.34,145,17.42
150,19.12,150,13.22,150,13.41,150,11.46,150,12.32,150,17.93
155,23.83,155,13.21,155,13.39,155,11.48,155,12.33,155,18.52
160,30.37,160,13.21,160,13.39,160,11.51,160,12.31,160,19.18
165,33.61,165,13.24,165,13.38,165,11.45,165,12.32,165,19.62
170,34.4,170,13.22,170,13.41,170,11.46,170,12.29,170,20.18
175,34.68,175,13.22,175,13.39,175,11.46,175,12.3,175,20.55
180,44.23,180,13.2,180,13.41,180,11.45,180,12.28,180,20.41
185,60.66,185,13.26,185,13.43,185,11.45,185,12.28,185,20.44
190,59.85,190,13.47,190,13.41,190,11.45,190,12.27,190,20.88
195,59.97,195,14.48,195,13.39,195,11.44,195,12.29,195,21.67
200,59.8,200,24.44,200,13.39,200,11.43,200,12.26,200,22.54
205,59.35,205,36.91,205,13.41,205,11.43,205,12.24,205,23.47
210,58.77,210,49.21,210,13.41,210,11.43,210,12.26,210,24.28
215,57.96,215,68.92,215,13.41,215,11.42,215,12.25,215,24.93
220,56.94,220,82.6,220,13.43,220,11.47,220,12.28,220,25.72
225,56.13,225,86.8,225,13.41,225,11.38,225,12.23,225,26.61
230,59.11,230,89,230,13.43,230,11.46,230,12.21,230,27.41
235,82.2,235,96.8,235,13.46,235,11.42,235,12.21,235,28.09
240,88.8,240,112.6,240,13.45,240,11.4,240,12.22,240,28.81
245,89.3,245,135.7,245,13.43,245,11.41,245,12.24,245,29.41
250,88.7,250,163.8,250,13.48,250,11.44,250,12.25,250,30.04
255,87.7,255,184.9,255,13.45,255,11.38,255,12.24,255,30.82
260,86.4,260,203.7,260,13.48,260,11.36,260,12.23,260,31.89
265,84.3,265,222.9,265,13.48,265,11.37,265,12.24,265,33.06
270,82.1,270,238.4,270,13.45,270,11.37,270,12.24,270,34.24
275,79.63,275,250.2,275,13.48,275,11.36,275,12.23,275,35.44
280,78.08,280,257.5,280,13.51,280,11.36,280,12.23,280,36.4
285,76.77,285,263.6,285,13.5,285,11.35,285,12.24,285,37.41
290,76.11,290,266.8,290,13.51,290,11.35,290,12.21,290,38.21
295,73.91,295,267.3,295,13.84,295,11.34,295,12.22,295,38.82
300,71.51,300,266.6,300,15.73,300,11.34,300,12.23,300,39.45
305,69.3,305,265.8,305,20.39,305,11.34,305,12.23,305,39.75
310,66.87,310,265.4,310,27.11,310,11.33,310,12.22,310,39.91
315,64.47,315,272.4,315,33.89,315,11.31,315,12.19,315,40.21
