Time3,Temp3,Time4,Temp4,Time5,Temp5,Time6,Temp6,Time7,Temp7,Time8,Temp8
295,13.84,5,4.412,185,13.26,325,11.5,135,15.86,405,12.26
300,15.73,10,7.368,190,13.47,330,11.6,140,16.05,410,12.34
305,20.39,15,8.67,195,14.48,335,11.79,145,16.96,415,12.46
310,27.11,20,8.95,200,24.44,340,12.3,150,19.12,420,12.56
315,33.89,25,9.13,205,36.91,345,14.22,155,23.83,425,12.71
320,38.72,30,9.3,210,49.21,350,20.04,160,30.37,430,12.86
325,41.29,35,9.42,215,68.92,355,24.98,165,33.61,435,13.05
330,44.54,40,9.51,220,82.6,360,33.11,170,34.4,440,14.46
335,47.02,45,9.63,225,86.8,365,47.5,175,34.68,445,18.91
340,49.05,50,9.76,230,89,370,55.34,180,44.23,450,23.71
345,54.34,55,10.56,235,96.8,375,60.99,185,60.66,455,26.1
350,59.63,60,11.03,240,112.6,380,66.11,190,59.85,460,28.37
355,60.85,65,10.53,245,135.7,385,70.65,195,59.97,465,29.35
360,62.69,70,10.08,250,163.8,390,75.39,200,59.8,470,30
365,63.01,75,10.03,255,184.9,395,79.68,205,59.35,475,34.43
370,63.01,80,10.09,260,203.7,400,82.5,210,58.77,480,50.5
375,63.92,85,10.32,265,222.9,405,84.2,215,57.96,485,73.11
380,64.91,90,10.89,270,238.4,410,86.6,220,56.94,490,80.2
385,74.15,95,11.51,275,250.2,415,88.9,225,56.13,495,84.5
390,81.4,100,12.04,280,257.5,420,90.8,230,59.11,500,94.7
395,88.1,105,12.7,285,263.6,425,92.6,235,82.2,505,106.8
400,98.9,110,13.28,290,266.8,430,94.1,240,88.8,510,125.8
405,110.4,115,13.99,295,267.3,435,95.4,245,89.3,515,153.4
410,122.2,120,14.38,300,266.6,440,96.5,250,88.7,520,171.4
415,133.6,125,14.46,305,265.8,445,96.9,255,87.7,525,182.7
420,163.2,130,14.86,310,265.4,450,96.9,260,86.4,530,196.9
425,189,135,15.66,315,272.4,455,96.9,265,84.3,535,215.1
430,211.9,140,16.6,320,279,460,96.9,270,82.1,540,217.5
435,241.1,145,17.42,325,281.7,465,96.8,275,79.63,545,209.9
440,271.5,150,17.93,330,281.3,470,96.5,280,78.08,550,201.5
445,298.1,155,18.52,335,279.3,475,96.2,285,76.77,555,193.7
450,321.4,160,19.18,340,274.3,480,96.2,290,76.11,560,186.4
455,343.9,165,19.62,345,268.4,485,96.1,295,73.91,565,180.2
460,359.6,170,20.18,350,263,490,95.9,300,71.51,570,175.1
465,374.4,175,20.55,355,258.1,495,95.5,305,69.3,575,167.4
470,385.2,180,20.41,360,253.4,500,94.9,310,66.87,580,160
475,384.9,185,20.44,365,248.7,505,94.3,315,64.47,585,153.4
480,381.3,190,20.88,370,244.5,510,93.4,320,62.16,590,147.7
485,375.5,195,21.67,375,240.7,515,92.4,325,60.24,595,142.6
490,369.2,200,22.54,380,237.3,520,91.1,330,58.31,600,138.4
495,363.5,205,23.47,385,232.6,525,89.8,335,56.3,605,134.5
500,356.8,210,24.28,390,227.4,530,88.3,340,54.6,610,130.7
505,350.3,215,24.93,395,221.8,535,86.6,345,53.14,615,127.1
510,343.7,220,25.72,400,215.9,540,85,350,51.82,620,123.6
515,333.3,225,26.61,405,210.4,545,83.3,355,50.54,625,120.3
520,324.1,230,27.41,410,205.2,550,81.7,360,49.45,630,117
525,314.5,235,28.09,415,201.3,555,80,365,48.53,635,114.2
530,304.5,240,28.81,420,198.8,560,78.35,370,47.62,640,111.6
535,294.4,245,29.41,425,195.4,565,76.67,375,46.73,645,108.9
540,285.2,250,30.04,430,189.3,570,74.91,380,45.92,650,106.2
545,276.2,255,30.82,435,181.9,575,73.23,385,45.21,655,104.1
550,268.3,260,31.89,440,174,580,71.63,390,44.37,660,102.1
555,261.6,265,33.06,445,166.6,585,70.06,395,43.31,665,100.4
560,253.7,270,34.24,450,159.7,590,68.6,400,42.39,670,99.1
565,242.1,275,35.44,455,153.3,595,67.16,405,41.51,675,98.1
570,231.2,280,36.4,460,147.8,600,65.75,410,40.81,680,97.3
575,221.7,285,37.41,465,142.8,605,64.41,415,40.02,685,96.6
580,213.2,290,38.21,470,137.1,610,63.03,420,39.24,690,95.6
585,205.8,295,38.82,475,131.6,615,61.7,425,38.58,695,94
590,198.2,300,39.45,480,126.5,620,60.56,430,37.91,700,92
595,191.4,305,39.75,485,121.9,625,59.48,435,37.28,705,89.6
600,184.3,310,39.91,490,117.4,630,58.28,440,36.72,710,87
605,176.5,315,40.21,495,112.9,635,57.04,445,36.15,715,84.6
610,169.3,320,40.71,500,108.7,640,55.97,450,35.59,720,82.3
615,162.5,325,41.47,505,104.9,645,54.91,455,35.12,725,80
620,156.5,330,42.05,510,101.4,650,53.85,460,34.61,730,77.84
625,150.8,335,42.27,515,98.1,655,52.83,465,34.14,735,75.78
630,145.5,340,42.29,520,95,660,51.91,470,33.69,740,73.9
635,140.3,345,42.25,525,91.9,665,51.07,475,33.13,745,72.11
640,135.3,350,42.25,530,88.8,670,50.19,480,32.84,750,70.36
645,130.6,355,41.94,535,85.6,675,49.36,485,32.46,755,68.64
650,126.1,360,41.55,540,82.7,680,48.59,490,31.98,760,67.07
655,122,365,41.17,545,79.99,685,47.71,495,31.64,765,65.47
660,117.9,370,40.77,550,77.38,690,46.81,500,31.24,770,64.04
665,114,375,40.46,555,75.01,695,45.87,505,30.86,775,62.68
670,110.5,380,40.16,560,72.84,700,44.93,510,30.5,780,61.32
675,107.2,385,39.76,565,70.81,705,44.04,515,30.05,785,59.98
680,104,390,39.48,570,68.87,710,43.2,520,29.75,790,58.52
685,100.8,395,39.23,575,67.09,715,42.27,525,29.47,795,57.23
690,97.9,400,39.2,580,65.41,720,41.43,530,29.17,800,56.02
695,95.1,405,39.38,585,63.84,725,40.53,535,28.91,805,54.82
700,92.2,410,39.66,590,62.33,730,39.66,540,28.59,810,53.7
705,89.6,415,40.21,595,60.89,735,38.71,545,28.39,815,52.72
710,87.2,420,40.78,600,59.54,740,37.88,550,28.18,820,51.66
