Treat,Plot,TreatPlot,ETime,TCham,Cdry,Density,CO2S,H2OS,Tair,Press,RHcham,Dilution
b,1,b1,10,23.04105949,387.1109619,37.52853394,382.4055481,12.15516567,23.11569023,92.41449738,39.68336868,0.987844825
b,1,b1,15,23.08937836,387.9316406,37.52054214,383.1749268,12.26176643,23.13820076,92.40989685,39.95428848,0.987738252
b,1,b1,20,23.06875038,388.5859375,37.52012253,383.7919312,12.33701611,23.14780426,92.40242767,40.22307968,0.987662971
b,1,b1,25,23.02448654,388.9625549,37.52241135,384.1320496,12.4189682,23.14936066,92.39425659,40.61372375,0.987581015
b,1,b1,30,23.06760788,389.1861572,37.51375198,384.3286743,12.48108482,23.14882851,92.38638306,40.70622635,0.987518907
c,1,c1,10,21.78798485,398.6500854,37.6656189,392.1169739,16.388134,23.04958725,92.35967255,57.45542526,0.983611882
c,1,c1,15,22.06921387,401.1502991,37.62972641,394.3304138,17.00081825,23.06437302,92.35964203,58.77198029,0.982999206
c,1,c1,20,22.03607559,403.2146606,37.63420868,396.2236633,17.33815193,23.07638931,92.3602829,60.11949921,0.982661843
c,1,c1,25,22.20306396,404.4822388,37.61292267,397.3775024,17.56498528,23.08129883,92.36026001,60.31160736,0.982434988
c,1,c1,30,22.03390694,405.4421692,37.63415909,398.2253113,17.79999733,23.08820724,92.35948181,61.74653244,0.982200027
b,2,b2,10,21.02211761,398.2103271,37.76268387,393.032074,13.0038147,22.73036575,92.35723877,47.82722855,0.986996174
b,2,b2,15,21.08363724,400.311615,37.75481415,394.9273071,13.45032978,22.73028374,92.3572998,49.36319351,0.986549675
b,2,b2,20,20.90914917,402.0631104,37.77690506,396.5081482,13.81609154,22.72352219,92.35653687,51.29820633,0.986183882
b,2,b2,25,20.96238136,403.3106689,37.7703743,397.6519775,14.03054619,22.71171379,92.35728455,51.97941208,0.985969424
c,2,c2,15,19.15957451,385.2072449,38.00309753,380.1561279,13.11272335,22.30561066,92.35674286,54.16369629,0.986887276
c,2,c2,20,19.31855774,385.7475281,37.98211288,380.5162354,13.5614233,22.31657219,92.3559494,55.5190773,0.986438572
c,2,c2,25,19.32418823,386.2684326,37.98146057,380.901001,13.89554596,22.32979584,92.35614014,56.9104805,0.986104429
c,2,c2,30,19.37001038,386.6477661,37.97553635,381.1784058,14.14562225,22.34514236,92.3562088,57.7934761,0.985854387
c,2,c2,35,19.3420105,386.9880371,37.97881699,381.4324646,14.35593033,22.35923386,92.35533905,58.79878616,0.985644042
c,2,c2,40,19.24265671,387.2228088,37.99221039,381.605835,14.50580502,22.37163162,92.35652924,59.78555298,0.985494196
b,3,b3,5,20.00888634,378.4143372,37.89123535,374.5828552,10.12508297,22.16620064,92.35244751,39.8780098,0.989874899
b,3,b3,10,20.16124344,379.4730225,37.871521,375.6794434,9.996953964,22.19893646,92.35237122,38.98907089,0.990003049
b,3,b3,15,20.16438484,380.5151062,37.87132263,376.7458801,9.905581474,22.21593285,92.35287476,38.62034225,0.990094423
b,3,b3,20,20.12991333,381.459198,37.87545013,377.7099609,9.828690529,22.22122002,92.35208893,38.39992905,0.990171313
